step,loss,grad_norm,L_length,L_smooth,L_obs,STD
1,334.9580206133212,121.82417,69.42857360839844,6.116351869422942e-11,265.5294470048616,0.0
2,591.416548321615,125.314415,148.56053161621094,199.5798797607422,243.2761369446619,128.2292638541469
3,416.666104353928,70.01007,115.33177185058594,69.31503295898438,232.0192995443577,106.97087093107348
4,273.68083924322013,48.323677,132.98753356933594,67.64372253417969,73.0495831397045,119.41015578374328
5,218.11875116960218,29.63236,132.77023315429688,50.045963287353516,35.302554727951794,130.17702135155108
6,178.64483736660455,22.524103,130.11370849609375,37.72096633911133,10.81016253139947,138.01266788499004
7,162.9758859223408,20.637173,124.82608032226562,28.792837142944336,9.356968457130854,141.33111324460816
8,150.63755496909175,14.583347,120.08934783935547,22.592103958129883,7.9561031716064035,142.4348010398444
9,131.81249660941785,12.055822,111.77965545654297,14.897191047668457,5.135650105206419,143.29244951622607
10,127.18414758649584,23.217213,108.19835662841797,15.96562671661377,3.0201642414641032,142.82378788246015
11,119.12035593357629,9.71518,104.9199447631836,10.483746528625488,3.716664641767204,141.95861483462332
12,114.7424795387007,7.119383,101.70404815673828,8.888136863708496,4.150294518253922,90.31321475572956
13,110.87372857609492,7.995622,98.99537658691406,7.9445013999938965,3.933850589186967,49.64835833412635
14,104.4047804345714,8.542042,95.16706085205078,6.185111045837402,3.0526085366832203,33.441840550774494
15,102.79319581251355,14.127372,93.59752655029297,6.553115367889404,2.642553894331172,23.945031914336813
16,99.21318353646261,4.6515784,92.81063842773438,4.285584449768066,2.116960658960161,19.457227769633743
17,98.15359642636162,3.9830797,92.27034759521484,3.872661590576172,2.010587240570602,15.534372318033734
18,96.58377332721464,4.49514,91.33367919921875,3.5384929180145264,1.7116012099813684,11.451592882024503
19,95.37519679922136,10.15127,89.97091674804688,3.9237911701202393,1.4804888810542491,9.943242273243905
20,93.37965942549576,4.5229745,89.14868927001953,2.9841325283050537,1.2468376271711699,8.002094003610223
21,91.99866519468974,3.822391,88.18827819824219,2.647820472717285,1.1625665237302636,6.806347833292731
22,90.34899945769882,4.6610584,86.89786529541016,2.311805248260498,1.1393289140281637,5.6231777528398865
23,89.0232752129619,9.076327,85.71992492675781,2.4254744052886963,0.8778758809153921,4.4687530704519
24,87.48105505803488,3.0360045,85.23985290527344,1.3138214349746704,0.9273807177867722,4.212116140642374
25,87.09289611274053,1.7308284,85.01020812988281,1.097348928451538,0.9853390544061883,3.8842722205714124
26,86.87994822824186,1.8233051,84.87796783447266,1.0583161115646362,0.9436642822045687,3.7716911778337785
27,86.79415228059372,2.5171866,84.8057861328125,1.0321342945098877,0.9562318532713272,3.429572898767284
28,86.70528624037094,1.1544659,84.775390625,0.9778189659118652,0.9520766494590764,2.979559871230698
29,86.65208263277059,0.93549085,84.7415771484375,0.9499703049659729,0.9605351793671073,2.3659022875982885
30,86.61830866877624,0.9810948,84.71469116210938,0.9109682440757751,0.9926492625910837,1.8178798685159878
31,86.59524793304925,1.7944483,84.74081420898438,0.8779975771903992,0.9764361468744717,1.22985239922
32,86.55119112452266,0.7007664,84.77535247802734,0.8005114197731018,0.9753272267222092,0.7325045432121501
33,86.52755619821905,0.48476034,84.81361389160156,0.7826920747756958,0.9312502318417833,0.28294558125323704
34,86.50238286499955,0.55718386,84.89553833007812,0.7653199434280396,0.8415245914933847,0.17190190642453224
35,86.49270493465758,0.8564495,84.96575927734375,0.7709340453147888,0.7560116119990442,0.11888483219487259
36,86.48046201213663,0.36632234,84.96455383300781,0.7606462836265564,0.7552618955022565,0.09448938308900233
