step,loss,grad_norm,L_length,L_smooth,L_obs,STD
1,353.73986028013144,41.761856,69.42857360839844,6.116351869422942e-11,284.31128667167184,0.0
2,348.12359785985933,39.81314,140.94081115722656,75.48843383789062,131.69435286474214,2.808131210136054
3,364.5053149504505,42.124596,129.90118408203125,76.1885986328125,158.41553223560678,6.797042434178608
4,390.1512361245537,24.537596,116.10321044921875,42.806640625,231.24138505033494,16.135407522217083
5,405.3136552538776,22.795992,132.70579528808594,58.6057243347168,214.00213563107485,21.901050750525208
6,397.93011866706803,24.514103,155.7283477783203,73.87101745605469,168.33075343269303,22.146679071516914
7,387.7236296228127,19.455076,163.44029235839844,66.26203155517578,158.0213057092385,20.868264209379586
8,357.15713282790705,22.673365,195.25735473632812,65.12552642822266,96.77425166335625,20.725295910043783
9,355.60824001570705,46.143787,207.5619354248047,77.38442993164062,70.66187465926173,20.523361956114027
10,329.87490673349356,20.946495,189.4884796142578,53.196807861328125,87.18961925790761,23.43681863016126
11,308.53801610481025,18.521944,182.21852111816406,45.70143127441406,80.6180637122321,28.312490174438953
12,287.38557521021517,26.909506,179.3456573486328,40.35790252685547,67.68201533472687,30.57730233261746
13,273.8629863736819,40.51671,201.2771453857422,48.9250602722168,23.660780715722908,39.41225471165961
14,242.413563456802,18.575022,183.10997009277344,27.189865112304688,32.11372825172386,45.292663759504805
15,235.42290831148802,11.00499,180.39404296875,22.52301597595215,32.50584936678586,49.8246339696958
16,228.887338559396,9.58547,180.56491088867188,19.744462966918945,28.577964703805172,50.19179749953831
17,224.2482646437346,11.909041,182.85740661621094,17.56892967224121,23.82192835528243,47.121601218323676
18,220.63903239003065,9.04735,181.42343139648438,15.640214920043945,23.575386073502326,44.851277398974325
19,218.92438810133496,6.2982335,180.96678161621094,14.284964561462402,23.672641923661615,37.82306897953519
20,215.87598599568665,6.360643,177.33644104003906,13.220827102661133,25.31871785298646,30.89429613956841
21,214.2537257039155,7.71958,176.97567749023438,13.492942810058594,23.785105403622527,23.97812705677511
22,213.25136332075948,5.830913,176.0534210205078,13.282625198364258,23.9153171018874,17.629640692214693
23,212.89641303634488,5.199682,174.5986328125,12.745179176330566,25.552601047514308,9.466831955489026
24,212.42315707104663,4.5687957,174.61572265625,12.081539154052734,25.725895260743897,7.305596057229803
25,211.58420906811796,7.1762877,173.92027282714844,12.062041282653809,25.601894958315697,5.41189253164438
26,211.73048577684827,5.8892646,174.556396484375,12.343008041381836,24.831081251091437,4.091327213296992
27,211.93253182894009,2.1693735,173.35818481445312,11.743631362915039,26.83071565157192,3.0496542903016763
28,212.66897506746835,1.8914676,173.12261962890625,11.858612060546875,27.68774337801523,2.267457832464132
29,213.32163315197266,2.3086169,172.81443786621094,12.00406265258789,28.503132633173838,1.2952335458662707
30,213.95288685929017,3.205629,172.44737243652344,12.129886627197266,29.37562779556946,0.8157043605530749
31,214.65602231174438,2.0695322,172.61082458496094,12.115286827087402,29.929910899696033,0.754106560944395
32,215.3638047531709,1.4883043,172.554931640625,11.940103530883789,30.868769581662132,0.9768955867429913
33,215.15310900449998,1.3872862,172.633544921875,11.835564613342285,30.683999469282703,1.2690656055738534
34,215.016785743032,2.4278216,172.35543823242188,11.918007850646973,30.743339659963144,1.397830299339431
35,214.87151394398325,1.2582499,172.19488525390625,11.969630241394043,30.70699844868296,1.3238567429604717
36,214.7524687339472,1.0233084,171.90753173828125,12.190564155578613,30.654372840087348,1.1462123752673499
37,214.69198547449645,1.0113432,171.68466186523438,12.30012035369873,30.70720325556334,0.8592704432127739
38,214.62196877704017,0.98717046,171.2729034423828,12.461564064025879,30.887501270631486,0.5970779797679142
39,214.5753221791022,0.7500406,171.01661682128906,12.446792602539062,31.11191275527405,0.37668706593913115
40,214.536648110343,0.7650082,170.8165283203125,12.412323951721191,31.30779583830931,0.25460061665666867
41,214.4813488417975,1.0353513,170.57525634765625,12.429888725280762,31.476203768860508,0.2674524735296053
42,214.4203920993491,1.0925303,170.39727783203125,12.499687194824219,31.523427072493625,0.21502986645593267
43,214.36496007383406,0.7443077,170.36851501464844,12.503742218017578,31.492702841168036,0.18094765932302348
44,214.31956241330596,0.8207113,170.35923767089844,12.547079086303711,31.413245656103825,0.1532395085639227
45,214.29518649370578,0.8362512,170.2977294921875,12.512251853942871,31.485205147575417,0.1383184709528072
46,214.27174791206747,0.6823619,170.23193359375,12.486062049865723,31.55375226845174,0.13083320460685538
47,214.20783109628493,0.74963033,169.97402954101562,12.46233081817627,31.771470737093033,0.12096179784330366
48,214.17633137109848,1.5002015,169.84954833984375,12.4762601852417,31.850522846013025,0.11865602465733746
49,214.13566414661963,0.8816655,169.8129119873047,12.478509902954102,31.844242256360847,0.114044044779025
50,214.08046180561442,0.7023868,169.75469970703125,12.507214546203613,31.818547552379556,0.10724839571133252
51,214.04514900127583,0.7840757,169.727294921875,12.524155616760254,31.793698462640574,0.10465271919570635
52,213.99776595545296,1.7415051,169.57699584960938,12.513876914978027,31.90689319086557,0.10419047960354458
53,213.9418699541067,0.8000768,169.56692504882812,12.473053932189941,31.901890973088626,0.10765833635168492
54,213.91942281952228,0.6185739,169.52015686035156,12.43819808959961,31.961067869571103,0.11455804868315067
55,213.8768982931401,0.84345704,169.47557067871094,12.394880294799805,32.00644731962935,0.11449258922379525
56,213.83375116329523,0.9543086,169.4027557373047,12.312240600585938,32.11875482540461,0.11059043767109855
57,213.79154936643323,1.3866482,169.588134765625,12.313462257385254,31.889952343422983,0.11089213180140056
58,213.7542824672809,0.5274655,169.57740783691406,12.257281303405762,31.919593326961063,0.1091416723982479
59,213.74392653997563,0.41714117,169.59530639648438,12.257458686828613,31.89116145666265,0.10594926718445488
60,213.73058684586303,0.37227127,169.69149780273438,12.240095138549805,31.79899390457885,0.10043889216619695
61,213.72664630417327,0.41270944,169.70420837402344,12.238429069519043,31.784008860630788,0.09053670310640602
